,Description,NaceCode,Age,Number_of_Activities
1063,Culture de fruits à pépins et à noyau,01240,18.86591060707138,7570
1064,"Construction d'ouvrages maritimes et fluviaux, sauf travaux de dragage",42919,18.831196581196583,4036
1065,Transport d'électricité,40120,18.80952380952381,111
1066,Métallurgie des autres métaux non ferreux,24450,18.803030303030305,278
1067,"Commerce de gros non spécialisé de denrées non-surgelées, boissons et tabac",46392,18.80064308681672,4921
1068,Autres activités rattachées à l'informatique,72600,18.793562117584464,12712
1069,les cultures n.d.a.,0111011,18.75,367
1070,Élevage d'ovins et de caprins,01450,18.68849840255591,5021
1071,Activités des comptables et des comptables-fiscalistes,69202,18.676586464049528,25106
1072,les travaux de couverture en tous matériaux,4522002,18.666666666666668,7004
1073,"la culture de légumes : tomates, melons,oignons, choux, laitues, carottes, haricots, cresson, cressonnette, maïs sucré, courgettes, aubergines, poireaux, etc.",0112101,18.666666666666668,319
1074,Projection de films cinématographiques,59140,18.56641604010025,2006
1075,Édition de revues et de périodiques,58140,18.51324828263003,4039
1076,"Exploitation de pépinières, sauf pépinières forestières",01301,18.51015531660693,5617
1077,la gestion et l'exploitation de centres sportifs destinés à accueillir des événements ou des disciplines sportifs de toute nature,9261101,18.5,286
1078,la location à l'année de boxes ou de lieux de garage de véhicules,7020302,18.5,3917
1079,Élevage de porcs à l'engrais,01462,18.491720662347014,6196
1080,Fabrication d'autres articles en matières plastiques,22290,18.490453460620525,2665
1081,"Création de modèles pour le textile, l'habillement, les bijoux, les meubles et les objets de décoration",74877,18.40379403794038,2830
1082,la conception de bâtiments et l'établissement de plans,7420102,18.4,19698
1083,la production de lait cru de vache.,0121002,18.4,182
1084,Associations pour la coopération au développement,94995,18.394029850746268,770
1085,Fabrication de caoutchouc synthétique,20170,18.392857142857142,84
1086,Fonderie d'acier,27520,18.387096774193548,540
1087,Elevage de poules,01471,18.361137440758295,3580
1088,Commerce de gros d'autres biens domestiques n.c.a.,46499,18.353693181818183,10009
1089,Commerce de gros non spécialisé,46900,18.337981744421906,23864
1090,"la surveillance des travaux de construction (gros oeuvre, installation, travaux de finition, etc.)",7420103,18.333333333333332,6379
1091,Régie des télégraphes et téléphones - Belgacom,64201,18.333333333333332,110
1092,Fabrication de mortiers et de bétons secs,23640,18.333333333333332,332
1093,Reproduction d'enregistrements vidéo,22320,18.296,711
1094,Autres activités relatives à la justice,84239,18.28,180
1095,Entretien et réparation de machines de bureau et de matériel informatique,72500,18.253569388920617,4882
1096,Exploitation de domaines récréatifs,93292,18.16957210776545,1737
1097,Fabrication d'instruments et de fournitures à usage médical et dentaire,32500,18.15299539170507,4388
1098,Enseignement supérieur organisé par les pouvoirs publics,85421,18.13131313131313,873
1099,Personnel occupé dans des domaines et jardins privés,95003,18.125,144
1100,Façonnage et transformation du verre plat,23120,18.067010309278352,1092
1101,Hôtels,55100,18.05675100496571,22474
1102,Activités des géomètres,71122,18.040879422878735,5363
1103,Fabrication d'emballages en bois,16240,18.024258760107816,2437
1104,Activités de banques de données,72400,18.013824884792626,5008
1105,les autres activités liées aux loisirs non classées ailleurs,9272402,18.0,798
1106,la conduite des opérations de gros entretien des bâtiments,7420106,18.0,1443
1107,le commerce de gros d'autres pierres précieuses et semi-précieuses,5156102,18.0,956
1108,intermédiaires du commerce en produits pharmaceutiques et articles orthopédiques,5115006,18.0,249
1109,"le nettoyage à la vapeur, le sablage et les activités analogues appliquées aux parties extérieures des bâtiments",4545002,18.0,10002
1110,"l'application dans des bâtiments ou d'autres projets de construction, de plâtre ou de stuc pour l'intérieur ou l'extérieur, y compris les matériaux de lattage associés",4541001,18.0,2459
1111,la construction de cheminées et de fours industriels,4525006,18.0,2963
1112,la fabrication et l'installation d'équipements industriels pour la production du froid,2923001,18.0,683
1113,Fabrication de machines pour le travail du caoutchouc ou des plastiques,28960,18.0,286
1114,la fabrication et le montage de constructions métalliques et d'ossatures pour la construction,2811001,18.0,12272
1115,Fonderie,27500,18.0,20
1116,"fabrication d'articles divers en fourrures : tapis, poufs non garnis, peaux à polir pour l'industrie, etc.",1830004,18.0,25
1117,Extraction d'autres minerais de métaux non ferreux,07290,18.0,33
1118,la culture de pommes de terre,0111002,18.0,8990
1119,Commerce de détail de journaux et de papeterie en magasin spécialisé,47620,17.977318212141427,19422
1120,Commerce de gros d'articles d'horlogerie et de bijouterie,46480,17.968514715947983,9482
1121,Fabrication de bijoux de fantaisie,36610,17.966101694915253,674
1122,Fabrication d'autres équipements de transport n.c.a.,30990,17.9,381
1123,Reliure,22230,17.894211576846306,8400
1124,Commerce de gros de produits à base de tabac,46350,17.86,1273
1125,"Commerce de gros de sucre, de chocolat et de confiserie",46360,17.85633116883117,5666
1126,Aquaculture en eau douce,03220,17.84888888888889,642
1127,"Gestion de salles de théâtre, de concerts et similaires",90041,17.82,4246
1128,"Fabrication d'appareils de réception, enregistrement ou reproduction du son et de l'image",32300,17.814968814968815,3050
1129,"la culture de céréales : blé dur, blé tendre, seigle, orge, avoine, maïs, riz, etc.",0111001,17.8,10724
1130,Administration de biens immobiliers résidentiels pour compte de tiers,68321,17.763663023193814,25286
1131,Fabrication de chaux,26520,17.742857142857144,1000
1132,Gestion de centres culturels et de salles multifonctionnelles à vocation culturelle,90042,17.694680030840402,5248
1133,Fabrication d'autres articles en papier ou en carton,17290,17.694214876033058,1209
1134,Traitement et élimination des déchets dangereux,38222,17.670886075949365,841
1135,l'établissement de déclarations fiscales pour les particuliers et les entreprises,7412401,17.666666666666668,19540
1136,"Fabrication de moteurs, de génératrices et de transformateurs électriques",27110,17.65024630541872,2996
1137,Autre traitement et élimination des déchets non dangereux,38219,17.633426966292134,3465
1138,Activités des entreprises d'assurances multibranches à prédominance vie,65112,17.59288537549407,1351
1139,Commerce de gros de produits à base de pommes de terre,46382,17.577464788732396,1437
1140,"Commerce de détail de viandes et de produits à base de viande en magasin spécialisé, sauf viande de gibier et de volaille",47221,17.567846373591493,16220
1141,Activités des agents et courtiers d'assurances,66220,17.505573369980148,23870
1142,Commerce de gros de produits pharmaceutiques,46460,17.504581358609794,6388
1143,Fabrication d'éléments en plâtre pour la construction,23620,17.475,522
1144,Fabrication de machines pour la métallurgie,28910,17.47222222222222,351
1145,Autres hébergements,55900,17.446280991735538,2528
1146,"Entreposage et stockage, y compris frigorifique",52100,17.446070234113712,9390
1147,Extraction de gravier,08121,17.405405405405407,165
1148,les soins de manucure et de pédicure,9302203,17.4,6144
1149,Production de gaz,40210,17.4,38
1150,Reproduction d'enregistrements informatiques,22330,17.38679245283019,849
1151,"Emboutissage, estampage et profilage des métaux; métallurgie des poudres",25502,17.3671875,2288
1152,Extraction de pierres ornementales et de construction,14110,17.34122287968442,6444
1153,Gestion d'installations sportives,93110,17.334791792395897,14969
1154,Commerce de détail de vêtements d'occasion en magasin,47792,17.304308390022676,7679
1155,Fabrication d'autres matériels électriques,27900,17.292792792792792,1911
1156,Commerce de gros de maroquinerie et d'articles de voyage,46498,17.287020109689212,6734
1157,Commerce de gros de viande de volaille et de gibier,46322,17.267272727272726,2790
1158,"Commerce de détail de tapis, de moquettes et de revêtements de murs et de sols en magasin spécialisé",47530,17.259948320413436,7950
1159,Personnel occupé à des travaux d'ordre non ménager,95002,17.25,544
1160,Fabrication d'appareils d'éclairage électrique,27402,17.23051224944321,4977
1161,Activités d'affacturage (Factoring),64991,17.19607843137255,615
1162,Fabrication de médicaments,21201,17.16916488222698,1495
1163,Travaux d'isolation,45320,17.157440758293838,67546
1164,Autre imprimerie (labeur),18120,17.112807463952503,10538
1165,"Entretien et réparation général d'automobiles et d'autres véhicules automobiles légers ( = 3,5 tonnes )",45201,17.086222271764576,44726
1166,Location de vidéocassettes et de disques vidéo,77220,17.08421052631579,2546
1167,la construction de cheminées décoratives et de feux ouverts,4525007,17.0,3188
1168,"mise en place de fondations, y compris battage de pieux",4525001,17.0,5934
1169,la réalisation du gros oeuvre de maisons individuelles,4521101,17.0,5000
1170,Fabrication d'autres pompes et de compresseurs,28130,16.97222222222222,430
1171,Fabrication de meubles,36100,16.95397489539749,1911
1172,Commerce de gros de fleurs et de plantes,46220,16.952706253284287,7486
1173,"Commerce de gros d'instruments de mesure, de contrôle et de navigation",46696,16.944262295081966,1861
1174,"Commerce de détail de poissons, crustacés et mollusques",52230,16.901300688599846,6144
1175,Fabrication d'autres machines-outils n.d.a.,29433,16.875,81
1176,Exploitation forestière,02200,16.84809512254307,10467
1177,"Transformation et conservation de la viande de boucherie, à l'exclusion de la viande de volaille",10110,16.84628670120898,2441
1178,Fabrication de fibres de verre,23140,16.838709677419356,287
1179,Edition de logiciels,72210,16.822095857026806,5023
1180,Personnel occupé à des tâches ménagères,95001,16.818181818181817,296
1181,"Services annexes à l'élevage, à l'exclusion des services vétérinaires",01420,16.80294117647059,22714
1182,Commerce de gros de fournitures pour plomberie et chauffage,46742,16.79593318809005,8074
1183,Activités des centres de jour et de services pour personnes âgées,88102,16.789473684210527,432
1184,Activités des réviseurs d'entreprises,69203,16.77478862413528,2383
1185,Activités des experts-comptables et des conseils fiscaux,69201,16.76175341014435,14904
1186,Fabrication article en bois (contruction),20301,16.69090909090909,1309
1187,Bureau de géomètre,74202,16.64475271411339,19026
1188,Terrassements,45112,16.63177264363116,63524
1189,Transports fluviaux de passagers,50300,16.593103448275862,666
1190,Construction et réparation de navires,35110,16.579885877318116,7398
1191,Commerce de gros de chaussures,46425,16.577847439916404,8535
1192,Commerce de détail de mobilier de maison en magasin spécialisé,47591,16.57262996941896,25607
1193,Transports ferroviaires,60100,16.566995768688294,4410
1194,"Gestion des bibliothèques, des médiathèques et des ludothèques",91011,16.556135770234988,1573
1195,Enseignement post-secondaire non supérieur,85410,16.526315789473685,192
1196,Autres activités de soins résidentiels n.c.a.,87909,16.493243243243242,858
1197,Commerce de gros d'autres produits intermédiaires n.c.a.,46769,16.47697756788666,2217
1198,Fabrication de serrures et de ferrures,25720,16.419298245614034,2168
1199,Réparation de produits électroniques grand public,95210,16.41653481012658,19993
1200,"Autres activités de télécommunication, y compris télédistribution",64202,16.410714285714285,502
1201,Élevage d'autres animaux,01250,16.404360056258792,9768
1202,Fabrication de machines-outils pour le travail du bois,29432,16.333333333333332,36
1203,Activités des laboratoires médicaux,86901,16.32907075873828,2625
1204,"Activités des centres de jour pour adultes avec un handicap moteur, y compris les services ambulatoires",88104,16.327272727272728,313
1205,Gestion et conservation des sites naturels,91042,16.317073170731707,885
1206,Pratique dentaire,86230,16.310802798529586,20599
1207,"Commerce de gros de poissons, crustacés et mollusques",46381,16.279317697228144,2514
1208,Façonnage et transformation du verre plat,26120,16.2680412371134,2292
1209,Fabrication d'autres articles métalliques n.c.a.,25999,16.261665682220908,8520
1210,Fabrication d'équipements aérauliques et frigorifiques industriels,28250,16.25400213447172,3177
1211,Autres formes d'action sociale sans hébergement n.c.a.,88999,16.250073464590066,13085
1212,Rechapage de pneumatiques,25120,16.2465490797546,20366
1213,Activités des agences de voyage,79110,16.2367849384504,5692
1214,Fabrication de fûts et d'emballages métalliques similaires,25910,16.231884057971016,706
1215,Activités de soins résidentiels pour personnes toxicodépendantes,87204,16.22222222222222,98
1216,"Fabrication de remorques, de semi-remorques et de caravanes",29202,16.201680672268907,1414
1217,Construction et réparation de bâteaux de plaisance et de sport,35120,16.175,2520
1218,Démolition d'immeubles,45111,16.15239110163847,49436
1219,Construction aéronautique et spatiale,30300,16.127450980392158,677
1220,Activités des blanchisseries et des salons-lavoirs pour particuliers,96012,16.119311875693672,3784
1221,Fabrication de condiments et d'assaisonnements,10840,16.111650485436893,861
1222,Fonderie de métaux légers,24530,16.107692307692307,300
1223,Manutention autre que portuaire,52249,16.102479338842976,6155
1224,"Commerce de détail d'automobiles et d'autres véhicules automobiles légers ( = 3,5 tonnes )",45113,16.073950361506913,48605
1225,Autres activités d'ordre public et de sécurité civile,84249,16.04225352112676,176
1226,Fabrication de chaussures,15200,16.015873015873016,1085
1227,Enseignement maternel spécialisé organisé par les pouvoirs publics,85105,16.0,18
1228,Récupération des matières chimiques,37230,16.0,38
1229,Extraction de tourbe,08920,16.0,30
1230,"Commerce de détail de fleurs, de plantes, de graines et d'engrais en magasin spécialisé",47761,15.986098333844424,27900
1231,Coiffure,96021,15.968097322902462,59329
1232,Exploitation de salles de billard et de snooker,93291,15.905027932960893,573
1233,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle,82910,15.860724233983287,1301
1234,"Discothèques, dancings et similaires",56302,15.854620976116303,3615
1235,Opérations directes d'assurance vie,65111,15.846666666666666,1311
1236,Fabrication de ciment,23510,15.829545454545455,2376
1237,"Location et exploitation de biens immobiliers résidentiels propres ou loués, sauf logements sociaux",68201,15.8124832574337,119233
1238,Production et diffusion de programmes de radio et de télévision,92204,15.806451612903226,299
1239,Récupération du textile,37220,15.8,189
1240,"Autres activités de soins résidentiels pour personnes avec un handicap mental, un problème psychiatrique ou toxicodépendantes",87209,15.793650793650794,244
1241,Culture du tabac,01150,15.785714285714286,199
1242,Octroi de crédit à la consommation,64921,15.766666666666667,2681
1243,Fabrication de produits électroniques grand public,26400,15.765536723163843,1439
1244,"la conception et la réalisation de projets intéressant le génie électrique et électronique, le génie minier, le génie chimique, le génie mécanique, le génie industriel, l'ingénierie de systèmes, les t",7420301,15.75,1892
1245,Enseignement de promotion sociale,85591,15.735849056603774,2017
1246,Administration publique communautaire et régionale,84112,15.727272727272727,1187
1247,Reliure et activités annexes,18140,15.686614173228346,2678
1248,Fabrication de moules et modèles,25731,15.675925925925926,678
1249,"Commerce de gros de boissons, assortiment général",46349,15.6672760511883,11893
1250,Fabrication artisanale de pain et de pâtisserie fraîche,10712,15.623180212014134,17251
1251,Commerce de détail d'antiquités en magasin,47791,15.614961832061068,9034
1252,"Commerce de gros de vêtements, autres que vêtements de travail et sous-vêtements",46423,15.612144102266125,17009
1253,Activités des crèches et des garderies d'enfants,88911,15.565294117647058,8817
1254,"Commerce de remorques, de semi-remorques et de caravanes",45194,15.550588235294118,11915
1255,Recherche et développement en sciences humaines et sociales,73200,15.549115245009075,74800
1256,Commerce de gros de matériel de levage et de manutention,46694,15.543071161048688,1497
1257,Transformation du thé et du café,10830,15.520581113801454,1185
1258,"la culture de fruits : pommes, poires, agrumes, abricots, fraises, baies, cerises, pêches, bananes, avocats, dattes, etc.",0113001,15.5,1904
1259,Commerce de détail de produits laitiers et d'oeufs en magasin spécialisé,47291,15.47097097097097,12134
1260,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central",25300,15.415929203539823,1039
1261,Gestion des cimetières et services des crématoriums,96032,15.40764331210191,533
1262,"Fabrication de nettoyeurs à haute pression, de matériel industriel de nettoyage au sable et similaires",28296,15.40625,286
1263,Activités de sécurité privée,80100,15.38512396694215,2942
1264,Évaluation des risques et dommages,66210,15.376292212267401,5258
1265,"Location et exploitation de biens immobiliers non résidentiels propres ou loués, sauf terrains",68203,15.368980096937197,84946
1266,Fabrication d'autres machines d'usage spécifique n.c.a.,28990,15.359467455621301,2539
1267,Associations pour la prévention de la santé,94993,15.336426914153133,1046
1268,les études et le conseil en matière d'aménagement urbain et d'architecture paysagère,7420104,15.333333333333334,3363
1269,Commerce de gros non spécialisé de denrées surgelées,46391,15.331683168316832,2509
1270,Activités des résidences services pour personnes âgées,87302,15.302222222222222,815
1271,Commerce de détail de fruits et légumes frais,52210,15.297148475909538,31388
1272,Distribution d'électricité,35130,15.274074074074074,1093
1273,Location et location-bail de matériels de transport par eau,77340,15.253918495297805,1320
1274,"Transports routiers de fret, sauf services de déménagement",49410,15.195857404537128,49186
1275,"Fabrication de salles à manger, de salons, de chambres à coucher et de salles de bain",31091,15.18753488372093,23253
1276,Autre commerce de détail de biens neufs en magasin spécialisé n.c.a.,47789,15.143516953925875,35394
1277,Services de soutien à l'exploitation forestière,02400,15.126356589147287,5126
1278,"Entretien, réparation et commerce de détail de motocycles, y compris les pièces et accessoires",45402,15.113914373088685,11392
1279,Commerce de détail d'articles de droguerie et de produits d'entretien en magasin spécialisé,47784,15.109797297297296,14164
1280,Fabrication de supports magnétiques et optiques,26800,15.108695652173912,272
1281,Fabrication de vêtements pour bébés,18241,15.066666666666666,175
1282,Construction de routes et d'autoroutes,42110,15.056028368794326,24142
1283,"Activités des centres de jour pour mineurs avec un handicap mental, y compris les services ambulatoires",88991,15.025641025641026,387
1284,les activités des géomètres-experts immobiliers,7420201,15.0,10996
1285,Réassurances vie acceptées,66012,15.0,189
1286,Extraction de minerais métalliques,13000,15.0,7
1287,Réparation et maintenance navale,33150,14.964539007092199,2012
1288,Location et location-bail de machines et d'équipements pour la construction,77320,14.946949602122016,9574
1289,"Location et location-bail de camions et d'autres véhicules automobiles lourds (> 3,5 ton)",77120,14.923329682365827,8930
1290,"Commerce de gros de machines pour la production d'aliments, de boissons et de tabac",46691,14.873362445414847,1116
1291,Cafés et bars,56301,14.850756748322672,58203
1292,Activités des huissiers de justice,69103,14.846320346320347,2818
1293,"Location et location-bail d'autres machines, équipements et biens matériels",77399,14.808067492749803,15679
1294,Tribunaux,84231,14.8,504
1295,Commerce de détail de chaussures en magasin spécialisé,47721,14.778128950695322,25707
1296,"Intermédiation en achat, vente et location de biens immobiliers pour compte de tiers",68311,14.761474908200734,44690
1297,l'élevage d'ovins et de caprins,0122001,14.75,202
1298,Transformation et conservation de la viande de volaille,10120,14.73490813648294,1228
1299,Fabrication d'articles métalliques à usage ménager et sanitaire,25991,14.734463276836157,1467
1300,Bureau d'architecte,74201,14.699064130101258,110116
1301,Commerce de gros de tabac non manufacturé,46215,14.673913043478262,501
1302,Enseignement primaire ordinaire n.c.a.,85209,14.65625,154
1303,Commerce de détail en magasin non spécialisé à prédominance alimentaire (surface de vente comprise entre 400m² et moins de 2500m²),47114,14.64959453691848,6998
1304,Récupération de déchets métalliques,38322,14.637532133676093,3126
1305,Fabrication de matériel de distribution et de commande électrique,27120,14.631578947368421,2699
1306,Exploitation de laiteries et fabrication de fromage,10510,14.61525704809287,1439
1307,Réassurance,65200,14.566265060240964,667
1308,Commerce de gros de parfumerie et de produits de beauté,46450,14.553120533587423,11775
1309,Activités des agences de travail temporaire,78200,14.49947201689546,9640
1310,Activités de revalidation ambulatoire,86905,14.479585128916806,31339
1311,"Location et location-bail d'automobiles et d'autres véhicules automobiles légers (< 3,5 tonnes)",77110,14.425246981339187,15580
1312,Activités de soutien à l'extraction d'hydrocarbures,09100,14.424242424242424,236
1313,les activités de conseil en matière comptable et l'organisation des services comptables pour des tiers,7412101,14.4,5317
1314,"Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques",46120,14.386383731211318,2753
1315,Associations pour l'environnement et la mobilité,94994,14.32887189292543,1146
1316,Réparation d'articles d'horlogerie et de bijouterie,95250,14.278,3565
1317,Fabrication de produits d'entretien,20412,14.277533039647578,781
1318,Location et location-bail de matériels de transport aérien,77350,14.264516129032257,1173
1319,Fabrication de pâtes alimentaires,10730,14.21951219512195,568
1320,Activités combinées de soutien lié aux bâtiments,81100,14.203175333640129,20400
1321,Enseignement maternel ordinaire communautaire,85101,14.2,121
1322,"Commerce de gros de café, de thé, de cacao et d'épices",46370,14.177345537757438,4587
1323,Autres services de restauration,56290,14.170918367346939,15884
1324,Commerce de détail d'articles de sport en magasin spécialisé,47640,14.165408373369939,14937
1325,"Élevage de volailles, sauf poules",01479,14.163212435233161,1978
1326,Extraction et agglomération du lignite,10200,14.162393162393162,1558
1327,Fabrication de placage et de panneaux de bois,16210,14.141089108910892,5741
1328,Gestion des archives publiques,91012,14.11320754716981,169
1329,Sylviculture et autres activités forestières,02100,14.105504587155963,7044
1330,Activités d'architecture de construction,71111,14.088504297090594,42951
1331,"Fabrication de cacao, de chocolat et de produits de confiserie",10820,14.061547479484174,4736
1332,Activités des parcs d'attractions et des parcs à thèmes,93212,14.041958041958042,824
1333,Fabrication de motocycles,30910,14.029411764705882,380
1334,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé",47230,14.018264840182649,3794
1335,Action sociale ambulatoire pour personnes toxicodépendantes,88993,14.01639344262295,311
1336,Construction de ponts et de tunnels,42130,14.0,8254
1337,Fabrication d'emballages métalliques légers,25920,14.0,681
1338,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,11070,13.992452830188679,890
1339,Forge,25501,13.946526151444184,8583
1340,Activités vétérinaires,75000,13.94034007622398,13316
1341,"Transformation et conservation de pommes de terre, sauf fabrication de préparations surgelées à base de pommes de terre",10311,13.938888888888888,675
1342,Commerce de gros de pommes de terre de consommation,46311,13.926666666666666,1509
1343,"Fabrication de tuiles, de carrelages et d'autres produits de construction en terre cuite",23322,13.919191919191919,450
1344,Commerce de détail de fruits et de légumes en magasin spécialisé,47210,13.907985631389886,13922
1345,Commerce de détail en magasin non spécialisé sans prédominance alimentaire (surface de vente < 2500m²),47191,13.902660217654171,5677
1346,"Gîtes de vacances, appartements et meublés de vacances",55203,13.888496270121712,6912
1347,Postes nationales,64110,13.887755102040817,2042
1348,Commerce de gros de pompes et de compresseurs,46695,13.87557603686636,1386
1349,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",46110,13.817615658362989,3953
1350,Fabrication d'autres machines-outils,28490,13.813725490196079,1454
1351,Activités des agences de presse,63910,13.80771586037967,4306
1352,Location et location-bail de machines et d'équipements agricoles,77310,13.796129923980649,6507
1353,"Commerce de gros de papiers peints, de peintures et de tissus d'ameublement",46733,13.718283582089553,3326
1354,Fabrication d'aliments homogénéisés et diététiques,10860,13.695852534562212,1005
1355,"Activités des centres de collecte de sang, des banques de sang et d'organes",86902,13.676470588235293,157
1356,Autres débits de boissons,56309,13.648086915446386,7008
1357,Travaux de dragage,42911,13.64134495641345,6006
1358,Autres activités auxiliaires d'assurance et de caisses de retraite,66290,13.63953488372093,6083
1359,Location et exploitation de terrains,68204,13.624717650855114,37809
1360,Administration de marchés financiers,66110,13.619047619047619,904
1361,Apprêt et tannage des cuirs; préparation et teinture des fourrures,15110,13.608695652173912,393
1362,"Fabrication de non-tissés, sauf habillement",13950,13.59375,362
1363,Courtage de valeurs mobilières et de marchandises,66120,13.5625,876
1364,Programmation de télévision et télédiffusion,60200,13.484330484330485,1674
1365,Commerce de gros d'articles en papier ou en carton,46493,13.467948717948717,1632
1366,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,47770,13.460504752540151,16660
1367,Transports aériens de passagers,51100,13.457112970711297,2056
1368,Commerce de gros de machines d'emballage et d'appareils de pesage,46692,13.444444444444445,834
1369,Sciage et rabotage du bois,16100,13.42905982905983,11298
1370,Commerce de gros de machines et d'appareils de chauffage et de refroidissement à usage industriel,46697,13.408026755852843,1854
1371,les activités de conseil en matière d'architecture au maître d'ouvrage,7420101,13.4,31736
1372,Culture du riz,01120,13.368421052631579,209
1373,Tissage de type lainier - cycle peigné,17230,13.363636363636363,1344
1374,Usinage,25620,13.347814673841711,18885
1375,Fabrication de glaces de consommation,10520,13.273348519362187,4024
1376,Production d'oeufs de volailles,01472,13.270588235294118,1689
1377,Commerce de détail de pain et de pâtisserie en magasin spécialisé (dépôt),47241,13.255411255411255,25559
1378,Commerce de gros d'engrais et de produits phytosanitaires,46752,13.253731343283581,1195
1379,Récupération de papier,37210,13.25,193
1380,Fabrication d'ordinateurs et d'équipements périphériques,26200,13.24586776859504,2753
1381,"Fabrication d'objets en liège, vannerie et sparterie",16292,13.236842105263158,1673
1382,Prétraitement avant élimination des déchets  dangereux,38221,13.235294117647058,392
1383,Fabrication de pneumatiques et de chambres à air,25110,13.212211563391238,44586
1384,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé",47410,13.194230027016596,33921
1385,Transports fluviaux,61200,13.187513787778514,35476
1386,Gestion des décharges et des sites définitifs de stockage,90023,13.16619398752127,50546
1387,Fabrication d'instruments de musique,32200,13.16304347826087,1340
1388,Commerce de gros d'huiles et de matières grasses comestibles,46332,13.154205607476635,1449
1389,Location et location-bail de machines de bureau et de matériel informatique,77330,13.152274225444957,10616
1390,Commerce de détail de maroquinerie et d'articles de voyage en magasin spécialisé,47722,13.148350149986365,23225
1391,Fabrication de malt,11060,13.08108108108108,242
1392,"Fabrication d'autres articles textiles confectionnés, sauf habillement",13929,13.039753255654558,4618
1393,Transports par conduites,49500,13.027027027027026,465
1394,Fabrication d'articles d'orfèvrerie,32124,13.022813688212928,992
1395,la création de cultures,0141002,13.0,3358
1396,Commerce de détail en magasin non spécialisé à prédominance alimentaire (surface de vente < 100m²),47112,12.99255088783023,35052
1397,Édition de livres,58110,12.980430528375734,8376
1398,"Commerce de détail de boissons en magasin spécialisé, assortiment général",47252,12.93232786885246,29933
1399,Activités des avocats,69101,12.90073206442167,47119
1400,Autres services auxiliaires des transports,52290,12.890861778662178,20636
1401,Commerce de détail de jeux et de jouets en magasin spécialisé,47650,12.886693999254566,14290
1402,Commerce de gros de céréales et de semences,46211,12.88195991091314,1925
1403,Transports urbains et suburbains de voyageurs,49310,12.850313033579965,6810
1404,Promotion immobilière résidentielle,41101,12.816899594255169,44868
1405,"Location et location-bail de vaisselle, couverts, verrerie, articles pour la cuisine, appareils électriques et électroménagers",77293,12.816326530612244,6825
1406,Fabrication d'autres produits pharmaceutiques,21209,12.788732394366198,1247
1407,Autres activités manufacturières n.c.a.,32990,12.78501400560224,4127
1408,Commerce de détail de cycles en magasin spécialisé,47785,12.748013245033112,8546
1409,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir",46160,12.731770088647412,11200
1410,Autres activités hospitalières,86109,12.717391304347826,479
1411,Enseignement de la conduite de véhicules à moteurs,85531,12.706143597335307,3275
1412,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre",23690,12.701639344262295,3343
1413,Activités de soutien à la production animale,01620,12.685155412647374,10483
1414,Réalisation de spectacles par des ensembles artistiques,90012,12.656905807711079,16721
1415,"Commerce de détail de sous-vêtements, de lingerie et de vêtements de bain en magasin spécialisé",47714,12.64776119402985,17288
1416,Réparations de carrosseries,45204,12.591934709553529,30755
1417,Fabrication industrielle de pain et de pâtisserie fraîche,10711,12.575793184488838,3029
1418,Restauration à service complet,56101,12.549118235258469,58874
1419,Fabrication de machines automatiques de vente de produits,28294,12.526315789473685,179
1420,le commerce de détail d'ordinateurs et de logiciels non personnalisés,5248701,12.5,7062
1421,Services d'aide à la jeunesse sans hébergement,88994,12.498559077809798,1541
1422,"Commerce de gros d'autres véhicules automobiles ( > 3,5 tonnes )",45191,12.492395437262358,5940
1423,Pose de papiers peints et de revêtements de murs et de sols en d'autres matériaux,43333,12.461040068201193,38489
1424,Location et location-bail d'autres biens personnels et domestiques n.c.a.,77299,12.455480378890393,13190
1425,Décoration d'étalage,74105,12.447272727272727,8659
1426,Activités des médecins généralistes,86210,12.447141378120326,26810
1427,"Fabrication et façonnage d'autres articles en verre, y compris verre technique",23190,12.439330543933055,1180
1428,Recherche-développement en autres sciences physiques et naturelles,72190,12.418724659049023,7106
1429,Commerce de gros de vêtements de travail,46421,12.408060453400504,3265
1430,Commerce de gros de verre plat,46734,12.38888888888889,789
1431,Commerce de gros de tapis,46472,12.373684210526315,1914
1432,Fabrication de piles et d'accumulateurs électriques,27200,12.32258064516129,336
1433,Enseignement supérieur n.c.a.,85429,12.320855614973262,651
1434,"Commerce de détail de vêtements, de sous-vêtements et d'accessoires pour dame, homme, enfant et bébé en magasin spécialisé, assortiment général",47716,12.278666240204702,51831
1435,Fabrication de vêtements de travail,14120,12.245454545454546,2070
1436,Activités de conditionnement,82920,12.244897959183673,2738
1437,Transports ferroviaires de fret,49200,12.241610738255034,865
1438,Réparation d'autres biens personnels et domestiques,95290,12.236865426003291,13068
1439,Fabrication de produits agrochimiques,24200,12.235751295336788,2618
